INFO 2023-09-26 09:01:43,998 autoreload 48353 140096465805760 Watching for file changes with StatReloader
DEBUG 2023-09-26 09:01:43,999 autoreload 48353 140096465805760 Waiting for apps ready_event.
INFO 2023-09-26 09:01:44,009 views 48353 140096465805760 logging added in homepage
WARNING 2023-09-26 09:01:44,009 views 48353 140096465805760 logging added in contact
ERROR 2023-09-26 09:01:44,009 views 48353 140096465805760 logging added in login
DEBUG 2023-09-26 09:01:44,011 autoreload 48353 140096465805760 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-09-26 09:01:44,014 autoreload 48353 140096465805760 Watching dir /home/sayone/ArshaMeenu_files/Self_Projects_/training_&_placement/core/training_placement/templates with glob **/*.
DEBUG 2023-09-26 09:01:44,014 autoreload 48353 140096465805760 Watching dir /home/sayone/ArshaMeenu_files/Self_Projects_/training_&_placement/core/locale with glob **/*.mo.
DEBUG 2023-09-26 09:01:44,014 autoreload 48353 140096465805760 Watching dir /home/sayone/ArshaMeenu_files/Self_Projects_/training_&_placement/tp_env/lib/python3.10/site-packages/cities_light/locale with glob **/*.mo.
DEBUG 2023-09-26 09:01:44,014 autoreload 48353 140096465805760 Watching dir /home/sayone/ArshaMeenu_files/Self_Projects_/training_&_placement/core/training_placement/locale with glob **/*.mo.
DEBUG 2023-09-26 09:01:44,079 utils 48353 140096397375040 (0.001) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
